 8. above              | ~위에, 위쪽에
 9. below              | ~아래에, 아래쪽에
10. beside             | ~옆에, ~와 비교하여

===== DAY 20 (12 words) =====
 1. car                | 자동차
 2. bus                | 버스
 3. subway             | 지하철
 4. train              | 기차
 5. ship               | 배
 6. airplane           | 비행기
 7. taxi               | 택시
 8. truck              | 트럭
 9. helicopter         | 헬리콥터
10. take               | 타다, 데려가다, 가져가다
11. get on             | 타다
12. get off            | 내리다

===== DAY 21 (10 words) =====
 1. market             | 시장, 판매하다
 2. store              | 가게, 상점, 저장하다
 3. shop               | 가게, 쇼핑하다
 4. customer           | 손님, 고객
 5. clerk              | 점원
 6. bakery             | 빵집
 7. bookstore          | 서점
 8. flower shop        | 꽃집
 9. department store   | 백화점
10. restaurant         | 식당, 레스토랑

===== DAY 22 (11 words) =====
 1. sell               | 팔다, 다 팔리다
 2. buy                | 사다, 구매
 3. pay                | 지불하다, 급여
 4. cost               | (비용이) 들다, 비용
 5. expensive          | 비싼
 6. cheap              | 저렴한, 질 낮은
 7. sale               | 판매, 할인 판매
 8. money              | 돈
 9. credit card        | 신용카드
10. cash               | 현금
11. coin               | 동전

===== DAY 23 (10 words) =====
 1. eat out            | 외식하다
 2. menu               | 메뉴
 3. order              | 주문하다, 주문
 4. lemonade           | 레모네이드
 5. chopsticks         | 젓가락
 6. noodle             | 국수, 면
 7. dish               | 요리, 음식, 접시
 8. pancake            | 팬케이크
 9. spaghetti          | 스파게티
10. steak              | 스테이크

===== DAY 24 (9 words) =====
 1. taste              | 맛, 맛보다
 2. yummy              | 맛있는
 3. delicious          | 맛있는
 4. fresh              | 신선한, 상쾌한
 5. sweet              | 달콤한, 친절한
 6. salty              | 짠
 7. sour               | 신
 8. bitter             | 쓴
 9. spicy              | 매운
